ImageID,Image,Description,Keywords
15,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_111.jpg,a painting of a tree with red leaves,"red leaves, tree, painting"
16,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_112.jpg,a painting of a tree with orange and purple leaves,"purple leaves, tree, painting, orange"
17,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_113.jpg,a painting of blue flowers on a blue background,"blue flowers, blue background, painting"
18,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_114.jpg,a painting of trees in red and yellow,"yellow, trees, red, painting"
19,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_115.jpg,a painting of a woman playing flute,"woman playing flute, painting"
20,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_116.jpg,a painting of trees with red and yellow leaves,"yellow leaves, trees, red, painting"
21,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_117.jpg,a painting of a woman sitting on a bench,"woman sitting, painting, bench"
22,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_118.jpg,a painting of trees in the fall,"trees, painting, fall"
23,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_119.jpg,a painting of lord ganesh with lotus in head,"ganesh,lotus"
24,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_12.jpg,a painting of a woman riding a bull,"woman riding, painting, bull"
25,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_120.jpg,a painting of trees in autumn,"trees, painting, autumn"
26,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_121.jpg,a painting of lord krishna sitting on a bench with flute,"lord krishna sitting, painting, bench, flute"
27,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_122.jpg,a painting of a field with trees and a yellow sky,"yellow sky, trees, painting, field"
28,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_123.jpg,a painting of trees in the middle of a lake,"trees, painting, middle, lake"
29,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_124.jpg,a painting of lord krishna in a yellow sari,"yellow sari, lord krishna, painting"
30,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_125.jpg,a painting of a forest with red trees,"red trees, painting, forest"
31,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_126.jpg,a painting of a boat in the water,"water, painting, boat"
32,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_127.jpg,a painting of a city with boats and people,"people, painting, city, boats"
33,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_128.jpg,a painting of cows with a woman and a man,"woman, painting, man, cows"
34,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_129.jpg,a painting of a woman in a red dress holding a cross,"red dress holding, woman, painting, cross"
35,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_13.jpg,two women in colorful sari,"two women, colorful sari"
36,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_130.jpg,radha and radha dancing in the jungle,"radha dancing, radha, jungle"
37,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_132.jpg,five women in a pond with flowers,"five women, pond, flowers"
38,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_133.jpg, with lord krishna and radha,"field, cows, lord krishna, radha"
39,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_134.jpg,a painting of two people with a cow,"two people, painting, cow"
40,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_135.jpg,two women playing the violin in a field,"two women playing, violin, field"
41,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_136.jpg,a painting of a bull with a green background,"green background, painting, bull"
42,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_137.jpg,a painting of a man with a hat,"painting, man, hat"
43,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_138.jpg,a painting of a woman with a face painted in green and pink,"face painted, woman, pink, painting, green"
44,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_139.jpg,a painting of a field with trees and a blue sky,"blue sky, trees, painting, field"
45,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_14.jpg,a painting of two women in blue heads,"two women, blue heads, painting"
46,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_140.jpg,a painting of trees in a park,"trees, park, painting"
47,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_141.jpg,a painting of a dirt road in the woods,"dirt road, woods, painting"
48,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_142.jpg,a painting of a mountain range,"mountain range, painting"
49,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_143.jpg,a painting of a field of flowers,"painting, flowers, field"
50,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_144.jpg,a painting of an elephant with a red background,"red background, painting, elephant"
51,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_145.jpg,a painting of a woman sitting on a bench,"woman sitting, painting, bench"
52,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_146.jpg,a painting of two women holding flowers,"two women holding flowers, painting"
53,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_147.jpg,a painting of a group of people,"people, painting, group"
54,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_148.jpg,a painting of a man with a blue face,"blue face, painting, man"
55,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_149.jpg,"a painting of a woman with a hat, flute and newspapers","woman, painting, hat, flute, newspaper"
56,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_15.jpg,a painting of a woman in a white sari with pot in head,"white sari, woman, painting, pot, head"
57,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_150.jpg,a painting of a woman with a book,"woman, painting, book"
58,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_151.jpg,a painting of a woman with a cup and a man,"woman, painting, man, cup"
59,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_152.jpg,a painting of a man with a hat and a book,"painting, man, hat, book"
60,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_153.jpg,a painting of two people with one holding a bird,"two people, one holding, painting, bird"
61,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_154.jpg,a painting of a lord krishna as mermaid with her two children,"two children, painting, mermaid, lord krishna"
62,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_155.jpg,a painting of lord ganesh,"lord ganesh, painting"
63,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_156.jpg,a watercolor painting of a wheel in front of a house,"watercolor painting, wheel, house, front"
64,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_157.jpg,sunflowers by artist susan schr,"artist susan schr, sunflowers"
65,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_158.jpg,a drawing of a hindu deity,"hindu deity, drawing"
66,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_159.jpg,a drawing of a woman holding a baby,"woman holding, drawing, baby"
67,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_16.jpg,a painting of a woman holding a baby,"woman holding, painting, baby"
68,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_160.jpg,a painting of a man with a beard and a long beard,"long beard, beard, painting, man"
69,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_161.jpg,a painting of a colorful landscape,"colorful landscape, painting"
70,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_162.jpg,a painting of blue and green,"painting, green, blue"
71,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_163.jpg,a painting of a cityscape,"painting, cityscape"
72,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_164.jpg,a painting of four women in a forest,"four women, painting, forest"
73,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_165.jpg,poa and poa by kashyai,"poa, poa, kashyai"
74,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_166.jpg,a painting of a woman sitting in a lotus,"woman sitting, painting, lotus"
75,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_167.jpg,a painting of women carrying water pots,"women carrying water pots, painting"
76,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_168.jpg,a painting of a dog with a blue nose,"blue nose, painting, dog"
77,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_169.jpg,a painting with many different shapes and colors,"many different shapes, painting, colors"
78,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_17.jpg,a painting of a yellow and black yin with lord ganesh and red background,"black yin, yellow, painting, lord ganesh, red"
79,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_170.jpg,a painting of a buddha face,"buddha face, painting"
80,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_171.jpg,a monk in a buddhist temple,"buddhist temple, monk"
81,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_172.jpg,a painting of a cow with a baby,"painting, cow, baby"
82,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_173.jpg,a painting of a woman with a red sun behind her,"red sun behind, woman, painting"
83,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_174.jpg,a painting of a woman playing the sita,"woman playing, sita, painting"
84,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_175.jpg,a painting of a woman in a white dress,"white dress, woman, painting"
85,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_176.jpg,a painting of a woman in a red and white saree,"red, woman, painting, white saree"
86,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_177.jpg,a painting of two women sitting on a couch,"two women sitting, painting, couch"
87,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_178.jpg,a painting of a woman in a black frame,"black frame, woman, painting"
88,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_179.jpg,a painting of a man with a body covered in paint,"body covered, painting, paint, man"
89,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_18.jpg,two women in orange sari,"orange sari, two women"
90,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_180.jpg,a painting of a woman in a temple,"woman, temple, painting"
91,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_181.jpg,a painting of a woman and a cow with pink background,"woman, painting, cow, pink background"
92,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_182.jpg,an elephant with a man on it's back,"man, elephant, back"
93,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_183.jpg,a painting of a baby ganesh in lotus leaves,"lotus leaves, painting, baby ganesh"
94,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_184.jpg,an elephant with a man on it's back,"man, elephant, back"
95,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_185.jpg,a painting of a woman sitting on a bed,"woman sitting, painting, bed"
96,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_186.jpg,a painting of a bull standing in front of a building,"bull standing, painting, front, building"
97,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_187.jpg,a painting of a woman with a hat and a fish,"woman, painting, hat, fish"
98,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_188.jpg,a painting of a buddha statue with a yellow background,"yellow background, buddha statue, painting"
99,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_189.jpg,a painting of two cows on a red background,"two cows, red background, painting"
100,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_19.jpg,a painting of a woman with a colorful face,"colorful face, woman, painting"
101,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_190.jpg,a painting of a man with a horse,"painting, man, horse"
102,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_191.jpg,a painting of a woman and her sheeps,"woman, sheeps, painting"
103,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_192.jpg,a painting of a woman sitting on a bed,"woman sitting, painting, bed"
104,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_193.jpg,a painting of a woman holding a sita,"woman holding, painting, sita"
105,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_194.jpg,a painting of a woman and a child,"woman, painting, child"
106,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_195.jpg,a painting of a woman playing a musical instrument,"woman playing, musical instrument, painting"
107,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_196.jpg,a painting of a hindu deity,"hindu deity, painting"
108,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_197.jpg,a painting of a hanuman," painting, hanuman"
109,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_198.jpg,a painting of a woman in a red dress,"red dress, woman, painting"
110,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_199.jpg,a painting of a woman sitting on a couch,"woman sitting, painting, couch"
111,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_2.jpg,a drawing of a fish in a circle,"fish, drawing, circle"
112,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_20.jpg,a watercolor painting of a woman in a sari sari,"watercolor painting, sari sari, woman"
113,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_200.jpg,a painting of two cow and flute,"cow,flute, painting"
114,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_201.jpg,a painting of a sunset over a lake,"sunset, painting, lake"
115,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_202.jpg,a painting of a blue ocean with waves and corals,"blue ocean, waves, painting, corals"
116,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_203.jpg,a painting of a landscape with blue waves and flowers,"blue waves, painting, landscape, flowers"
117,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_204.jpg,an elephant painting with a red background,"red background, elephant painting"
118,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_205.jpg,a painting of a woman holding a flower,"woman holding, painting, flower"
119,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_206.jpg,three umbrellas in the rain,"three umbrellas, rain"
120,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_207.jpg,a painting of a woman in a white dress,"white dress, woman, painting"
121,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_208.jpg,a painting with red and yellow colors,"yellow colors, red, painting"
122,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_209.jpg,two women sitting on a bench surrounded by flowers,"two women sitting, bench surrounded, flowers"
123,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_21.jpg,a painting of a woman holding a chipmuck,"chipmuck, woman holding, painting"
124,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_210.jpg,a painting of a man sitting on a bench,"man sitting, painting, bench"
125,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_211.jpg,a painting of a woman in a yellow dress,"yellow dress, woman, painting"
126,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_212.jpg,four women in a forest,"four women, forest"
127,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_213.jpg,a drawing of a woman with her eyes closed,"eyes closed, woman, drawing"
128,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_214.jpg,lord ganesh painting with colorful colors,"lord, ganesh, painting, colorful colors"
129,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_215.jpg,lord ganesh in colours,"lord, ganesh, colours"
130,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_216.jpg,a painting of two trees with a red sun in the background,"two trees, red sun, painting, background"
131,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_217.jpg,a drawing of a woman with a flower in her hand,"woman, hand, flower, drawing"
132,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_218.jpg,a painting of a buddha face with flowers,"buddha face, painting, flowers"
133,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_219.jpg,a painting of a woman in a blue dress surrounded by flowers,"blue dress surrounded, woman, painting, flowers"
134,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_22.jpg,a painting of a woman with butterflies on her head,"woman, painting, head, butterflies"
135,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_220.jpg,a painting of a beard man with a green apple,"green apple, beard, man, painting"
136,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_221.jpg,a painting of a woman with flowers and pearls,"woman, pearls, painting, flowers"
137,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_222.jpg,a painting of a zebra with colorful paint,"colorful paint, zebra, painting"
138,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_223.jpg,a painting of a rose on a pink background,"pink background, rose, painting"
139,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_224.jpg,oil paining of pink women in blue background,"oil, painting, pink women, blue"
140,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_225.jpg,a painting of a vase with flowers on it,"vase, painting, flowers"
141,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_226.jpg,a painting of a colorful abstract painting,"colorful abstract painting, painting"
142,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_227.jpg,a painting of a sunset with a moon in the background,"sunset, painting, moon, background"
143,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_228.jpg,a painting of a woman with a pink and yellow background,"yellow background, woman, pink, painting"
144,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_229.jpg,a painting of a flower on a white wall,"white wall, painting, flower"
145,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_23.jpg,a painting of a woman with a rabbit,"woman, rabbit, painting"
146,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_230.jpg,a painting of a group of people in a boat,"people, painting, group, boat"
147,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_231.jpg,two paintings of blue and red paint on a blue wall,"two paintings, red paint, blue wall, blue"
148,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_232.jpg,a painting with blue and yellow colors,"yellow colors, painting, blue"
149,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_233.jpg,a painting of a green and yellow abstract pattern,"yellow abstract pattern, painting, green"
150,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_234.jpg,a painting of a hindu deity,"hindu deity, painting"
151,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_235.jpg,lord ganesh with flower garland,"flower, garland,  lord, ganesh"
152,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_236.jpg,a painting of a giraffe in a blue background,"blue background, painting, giraffe"
153,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_237.jpg,a painting of a woman with red hair,"red hair, woman, painting"
154,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_238.jpg,a painting of a city with lots of buildings,"painting, lots, city, buildings"
155,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_239.jpg,a painting of a yellow and blue paint,"blue paint, yellow, painting"
156,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_24.jpg,a painting of a woman with a flower,"woman, painting, flower"
157,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_240.jpg,a painting of a red and black painting,"black painting, painting, red"
158,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_241.jpg,a painting of a boat on the water,"water, painting, boat"
159,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_242.jpg,a painting of a yellow and brown background,"brown background, yellow, painting"
160,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_243.jpg,a painting of a cityscape with a pink sky,"pink sky, painting, cityscape"
161,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_244.jpg,a painting with a red and blue paint on it,"blue paint, red, painting"
162,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_245.jpg,a painting of green trees on a blue background,"green trees, blue background, painting"
163,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_246.jpg,a painting of a tree in the middle of a field,"tree, painting, middle, field"
164,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_247.jpg,a painting of a blue and orange abstract,"orange abstract, painting, blue"
165,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_248.jpg,a painting with green paint on it,"green paint, painting"
166,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_249.jpg,a painting of a crown on a red background,"red background, painting, crown"
167,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_25.jpg,a painting of a woman holding a bunch of red roses,"woman holding, red roses, painting, bunch"
168,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_250.jpg,a painting of a black and orange abstract painting,"orange abstract painting, painting, black"
169,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_251.jpg,a painting of a pink and blue sky,"blue sky, pink, painting"
170,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_252.jpg,a painting of a house with red paint,"red paint, painting, house"
171,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_253.jpg,a painting of a castle in the middle of a lake,"painting, middle, lake, castle"
172,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_254.jpg,a painting of a green and yellow background,"yellow background, painting, green"
173,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_255.jpg,a painting of a boat in the water,"water, painting, boat"
174,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_256.jpg,a painting of red and black paint,"black paint, red, painting"
175,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_257.jpg,a painting of a pink sky with a small bird,"small bird, pink sky, painting"
176,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_258.jpg,a painting of a castle in the sky,"sky, painting, castle"
177,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_259.jpg,a blue painting with a small island in the distance,"small island, blue painting, distance"
178,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_26.jpg,a painting of a woman with blue eyes,"blue eyes, woman, painting"
179,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_260.jpg,a painting with a red and blue background,"blue background, red, painting"
180,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_261.jpg,a painting with red and black paint,"black paint, red, painting"
181,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_262.jpg,a painting with a pink and blue background,"blue background, pink, painting"
182,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_263.jpg,a painting of a forest with trees and water,"water, trees, painting, forest"
183,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_264.jpg,a painting of a yellow and black abstract,"black abstract, yellow, painting"
184,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_265.jpg,a painting of a brown and black landscape,"black landscape, painting, brown"
185,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_266.jpg,a painting of a green and yellow landscape,"yellow landscape, painting, green"
186,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_267.jpg,a painting of a mountain with a blue sky in the background,"blue sky, painting, mountain, background"
187,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_268.jpg,a painting of a man with a beard orange abstract,"painting, man, beard, orange, abstract"
188,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_269.jpg,a painting of a city with red and blue colors,"blue colors, red, painting, city"
189,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_27.jpg,a painting of a motorcycle,"painting, motorcycle"
190,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_270.jpg,a painting of a city with buildings and a sky,"sky, painting, city, buildings"
191,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_271.jpg,a painting of a woman playing the sitar,"woman playing, sitar, painting"
192,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_272.jpg,a painting of clothes hanging on a clothes line,"clothes line, clothes hanging, painting"
193,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_273.jpg,a painting of a red and black abstract,"black abstract, red, painting"
194,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_274.jpg,a painting of hanuman flying,"painting, hanuman, flying"
195,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_275.jpg,"shiva, parvathy, expressionismism","shiva, parvathy, expressionismism"
